Tipuri de lucrari si tipuri de constructii, Luni, UM: Procente, Valoare
Cladiri rezidentiale, Luna ianuarie 2005, Procente, 38.6
Cladiri rezidentiale, Luna februarie 2005, Procente, 38.1
Cladiri rezidentiale, Luna martie 2005, Procente, 38.9
Cladiri rezidentiale, Luna aprilie 2005, Procente, 41.5
Cladiri rezidentiale, Luna mai 2005, Procente, 40.2
Cladiri rezidentiale, Luna iunie 2005, Procente, 40.1
Cladiri rezidentiale, Luna iulie 2005, Procente, 41
Cladiri rezidentiale, Luna august 2005, Procente, 42.1
Cladiri rezidentiale, Luna septembrie 2005, Procente, 41
Cladiri rezidentiale, Luna octombrie 2005, Procente, 41.3
Cladiri rezidentiale, Luna noiembrie 2005, Procente, 42
Cladiri rezidentiale, Luna decembrie 2005, Procente, 42.2
Cladiri rezidentiale, Luna ianuarie 2006, Procente, 42.8
Cladiri rezidentiale, Luna februarie 2006, Procente, 41.4
Cladiri rezidentiale, Luna martie 2006, Procente, 41.4
Cladiri rezidentiale, Luna aprilie 2006, Procente, 44.4
Cladiri rezidentiale, Luna mai 2006, Procente, 45.3
Cladiri rezidentiale, Luna iunie 2006, Procente, 45.7
Cladiri rezidentiale, Luna iulie 2006, Procente, 45.9
Cladiri rezidentiale, Luna august 2006, Procente, 47.1
Cladiri rezidentiale, Luna septembrie 2006, Procente, 43.7
Cladiri rezidentiale, Luna octombrie 2006, Procente, 46.8
Cladiri rezidentiale, Luna noiembrie 2006, Procente, 47.1
Cladiri rezidentiale, Luna decembrie 2006, Procente, 48.4
Cladiri rezidentiale, Luna ianuarie 2007, Procente, 47.4
Cladiri rezidentiale, Luna februarie 2007, Procente, 47.3
Cladiri rezidentiale, Luna martie 2007, Procente, 48.3
Cladiri rezidentiale, Luna aprilie 2007, Procente, 48.4
Cladiri rezidentiale, Luna mai 2007, Procente, 49.9
Cladiri rezidentiale, Luna iunie 2007, Procente, 49.7
Cladiri rezidentiale, Luna iulie 2007, Procente, 49.6
Cladiri rezidentiale, Luna august 2007, Procente, 50.5
Cladiri rezidentiale, Luna septembrie 2007, Procente, 50.2
Cladiri rezidentiale, Luna octombrie 2007, Procente, 50.5
Cladiri rezidentiale, Luna noiembrie 2007, Procente, 51.1
Cladiri rezidentiale, Luna decembrie 2007, Procente, 51.7
Cladiri rezidentiale, Luna ianuarie 2008, Procente, 52.5
Cladiri rezidentiale, Luna februarie 2008, Procente, 53.3
Cladiri rezidentiale, Luna martie 2008, Procente, 55.6
Cladiri rezidentiale, Luna aprilie 2008, Procente, 57.1
Cladiri rezidentiale, Luna mai 2008, Procente, 58.3
Cladiri rezidentiale, Luna iunie 2008, Procente, 59.3
Cladiri rezidentiale, Luna iulie 2008, Procente, 61
Cladiri rezidentiale, Luna august 2008, Procente, 60.9
Cladiri rezidentiale, Luna septembrie 2008, Procente, 60
Cladiri rezidentiale, Luna octombrie 2008, Procente, 59.2
Cladiri rezidentiale, Luna noiembrie 2008, Procente, 57
Cladiri rezidentiale, Luna decembrie 2008, Procente, 56.7
Cladiri rezidentiale, Luna ianuarie 2009, Procente, 57.1
Cladiri rezidentiale, Luna februarie 2009, Procente, 57.2
Cladiri rezidentiale, Luna martie 2009, Procente, 58.8
Cladiri rezidentiale, Luna aprilie 2009, Procente, 57.8
Cladiri rezidentiale, Luna mai 2009, Procente, 57.7
Cladiri rezidentiale, Luna iunie 2009, Procente, 58.3
Cladiri rezidentiale, Luna iulie 2009, Procente, 58.4
Cladiri rezidentiale, Luna august 2009, Procente, 58.6
Cladiri rezidentiale, Luna septembrie 2009, Procente, 60.4
Cladiri rezidentiale, Luna octombrie 2009, Procente, 61.4
Cladiri rezidentiale, Luna noiembrie 2009, Procente, 58.7
Cladiri rezidentiale, Luna decembrie 2009, Procente, 58
Cladiri rezidentiale, Luna ianuarie 2010, Procente, 57.2
Cladiri rezidentiale, Luna februarie 2010, Procente, 57.8
Cladiri rezidentiale, Luna martie 2010, Procente, 59.1
Cladiri rezidentiale, Luna aprilie 2010, Procente, 59.5
Cladiri rezidentiale, Luna mai 2010, Procente, 60.7
Cladiri rezidentiale, Luna iunie 2010, Procente, 60.6
Cladiri rezidentiale, Luna iulie 2010, Procente, 60.9
Cladiri rezidentiale, Luna august 2010, Procente, 59.9
